,year,duration,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,month,production_number,lead_number,support_number,director_number,writer_number
0,2007,83,4.3,140,125000,4.3,140,5.5,5.0,10,0,1660,4369,3014,6086
1,2009,95,2.5,1666,400000,2.5,1666,3.1,2.0,01,5587,457,4369,2251,2148
2,2007,94,6.0,732,400000,6.0,732,6.2,6.0,07,1229,4035,4369,718,407
3,2010,109,5.1,6637,3600000,5.1,6637,5.4,5.0,11,1229,39,816,718,407
4,2018,89,5.6,1619,75000,5.6,1619,7.4,9.0,10,5343,6723,2416,718,407
5,2007,98,5.3,387,0,5.3,387,5.9,6.0,10,0,1506,1194,3347,2796
6,2009,85,3.8,658,200000,3.8,658,4.2,4.0,09,1941,5745,1194,299,153
7,2007,96,5.8,312,172000,5.8,312,6.3,6.0,10,5496,4015,2518,299,153
8,2010,91,5.4,209,0,5.4,209,5.7,6.0,12,5924,6944,2878,299,153
9,2017,83,3.7,100,0,3.7,100,4.3,4.0,07,4960,4782,6269,299,153
10,2014,89,3.8,208,700000,3.8,208,5.1,4.0,10,1460,1506,2869,2200,4212
11,2008,83,5.4,731,0,5.4,731,6.3,7.0,05,0,3279,2862,4855,2663
12,2007,116,6.4,269,1500000,6.4,269,6.6,7.0,08,0,4742,6250,1954,0
13,2011,104,5.6,1460,0,5.6,1460,6.1,6.0,05,38,404,2302,40,0
14,2013,90,6.1,536,0,6.1,536,6.8,7.0,01,0,5,5,5103,0
15,2014,173,8.0,622,0,8.0,622,8.0,8.0,09,0,5,5,0,0
16,2014,181,8.0,472,0,8.0,472,8.0,8.0,09,0,5,5,0,0
17,2016,56,8.5,557,0,8.5,557,8.4,8.0,01,0,5,5,0,0
18,2018,83,7.5,161,0,7.5,161,7.3,7.0,02,0,5,5,0,0
19,2020,80,5.1,140,0,5.1,140,5.4,6.0,03,3333,5,5,0,0
20,2012,55,6.9,145,2000,6.9,145,6.9,7.0,01,1070,5,5,0,0
21,2014,69,8.7,120,0,8.7,120,8.2,10.0,0,568,5,5,0,0
22,2013,104,7.5,154,0,7.5,154,7.8,10.0,0,568,5,5,0,0
23,2020,60,5.9,107,0,5.9,107,5.8,6.0,06,0,4666,5,0,0
