,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer,month,production_number,actor_number,director_number,writer_number
0,tt0119231,The Junior Defenders,The Junior Defenders,2007,2007-10-23,Comedy,83,USA,0,4.3,140,125000,4.3,140,5.5,5.0,5.0,Ally Sheedy,Keith Spiegel,Keith Spiegel,10,0,1660,2953,6123
1,tt0227671,Tortilla Heaven,Tortilla Heaven,2007,2008-10-14,Comedy,98,USA,0,5.3,387,0,5.3,387,5.9,6.0,5.8,José Zúñiga,Judy Hecht Dumontet,Judy Hecht Dumontet,10,0,1506,3344,2803
2,tt2904798,Mary Loss of Soul,Mary Loss of Soul,2014,2015-10-29,"Drama, Horror, Mystery",89,USA,OakIvy Productions,3.8,208,700000,3.8,208,5.1,4.0,4.0,José Zúñiga,Jennifer B. White,Jennifer B. White,10,1460,1506,1937,4250
3,tt0363240,Christmas on Mars,Christmas on Mars,2008,2008-05-24,"Music, Sci-Fi",83,USA,0,5.4,731,0,5.4,731,6.3,7.0,5.3,Steven Drozd,Wayne Coyne,Wayne Coyne,05,0,3279,6643,3376
4,tt0383929,Black August,Black August,2007,2007-08-01,Drama,116,USA,0,6.4,269,1500000,6.4,269,6.6,7.0,6.5,Gary Dourdan,Samm Styles,0,08,0,4742,2075,0
5,tt2676470,The Upper Footage (UPPER),The Upper Footage (UPPER),2013,2013-01-31,"Crime, Drama, Thriller",90,USA,0,6.1,536,0,6.1,536,6.8,7.0,6.1,0,Justin Cole,0,01,0,5,5212,0
6,tt4045476,Burning Love 2,Burning Love 2,2014,2014-09-01,Comedy,173,USA,0,8.0,622,0,8.0,622,8.0,8.0,8.0,0,0,0,09,0,5,0,0
7,tt4045478,Burning Love 3: Burning Down the House,Burning Love 3: Burning Down the House,2014,2014-09-01,Comedy,181,USA,0,8.0,472,0,8.0,472,8.0,8.0,7.8,0,0,0,09,0,5,0,0
8,tt5440848,Bugs Bunny: Looney Tunes Cartoons 1942-1943 - Golden-Era Collection,Bugs Bunny: Looney Tunes Cartoons 1942-1943 - Golden-Era Collection,2016,2016-01-01,Animation,56,USA,0,8.5,557,0,8.5,557,8.4,8.0,8.4,0,0,0,01,0,5,0,0
9,tt7980094,The Oscar Nominated Short Films 2018: Animation,The Oscar Nominated Short Films 2018: Animation,2018,2018-02-09,Animation,83,USA,0,7.5,161,0,7.5,161,7.3,7.0,7.6,0,0,0,02,0,5,0,0
10,tt11777308,Murder Death Koreatown,Murder Death Koreatown,2020,2020-03-21,"Crime, Horror, Mystery",80,USA,Conspiracy Reels,5.1,140,0,5.1,140,5.4,6.0,5.9,0,0,0,03,3333,5,0,0
11,tt2635832,Doggiewoggiez! Poochiewoochiez!,Doggiewoggiez! Poochiewoochiez!,2012,2012-01-27,Comedy,55,USA,Everything is Terrible,6.9,145,2000,6.9,145,6.9,7.0,6.9,0,0,0,01,1070,5,0,0
12,tt3978706,These Words Must Be on Your Heart,These Words Must Be on Your Heart,2014,2014,Drama,69,USA,Watchtower Bible & Tract Society of New York,8.7,120,0,8.7,120,8.2,10.0,10.0,0,0,0,0,568,5,0,0
13,tt4251266,The Prodigal Returns,The Prodigal Returns,2013,2013,Drama,104,USA,Watchtower Bible & Tract Society of New York,7.5,154,0,7.5,154,7.8,10.0,8.7,0,0,0,0,568,5,0,0
