,imdb_title_id,title,original_title,year,date_published,genre,duration,country,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer
30631,tt0119231,The Junior Defenders,The Junior Defenders,2007,2007-10-23,Comedy,83,USA,4.3,140,125000,4.3,140,5.5,5.0,5.0,Ally Sheedy,Keith Spiegel,Ally Sheedy
32436,tt0136517,Seven Days of Grace,Seven Days of Grace,2006,2006-04-01,"Comedy, Drama",88,USA,4.4,101,0,4.4,101,4.6,5.0,4.7,Stephanie Beacham,Don E. FauntLeRoy,Stephanie Beacham
35809,tt0197633,Live Freaky Die Freaky,Live Freaky Die Freaky,2006,2006-07-08,"Animation, Comedy, Musical",75,USA,5.0,624,0,5.0,624,5.9,6.0,6.0,Nick 13,John Roecker,Nick 13
36230,tt0204250,Death of a Saleswoman,Death of a Saleswoman,2006,2010-02-22,"Comedy, Mystery",77,USA,1.6,350,0,1.6,350,2.3,1.0,1.8,Cynthia Mann,Donna Wheeler,Cynthia Mann
36606,tt0211933,Awake - Anestesia cosciente,Awake,2007,2008-11-14,"Crime, Drama, Mystery",84,USA,6.5,71829,8600000,6.5,71829,6.7,7.0,6.7,Hayden Christensen,Joby Harold,Hayden Christensen
37232,tt0227671,Tortilla Heaven,Tortilla Heaven,2007,2008-10-14,Comedy,98,USA,5.3,387,0,5.3,387,5.9,6.0,5.8,José Zúñiga,Judy Hecht Dumontet,José Zúñiga
38237,tt0249516,Foodfight!,Foodfight!,2011,2013-02-12,"Animation, Action, Adventure",91,USA,1.5,9183,65000000,1.5,9183,3.9,1.0,2.1,Charlie Sheen,Lawrence Kasanoff,Charlie Sheen
38367,tt0251951,Pretty Cool,Pretty Cool,2006,2006-11-24,"Comedy, Sci-Fi",92,USA,4.1,450,0,4.1,450,4.7,4.0,3.8,Will Burke,Rolfe Kanefsky,Will Burke
38617,tt0255820,Return to Babylon,Return to Babylon,2013,2013-08-11,"Biography, Comedy, Drama",75,USA,5.9,144,2000000,5.9,144,6.1,7.0,5.2,Jennifer Tilly,Alex Monty Canawati,Jennifer Tilly
38777,tt0259822,.45,.45,2006,2006-11-30,"Crime, Drama, Thriller",101,USA,5.6,7967,5000000,5.6,7967,5.9,6.0,5.9,Milla Jovovich,Gary Lennon,Milla Jovovich
39157,tt0266732,Love Is the Drug,Love Is the Drug,2006,2006-01-01,Drama,96,USA,5.5,676,0,5.5,676,6.3,6.0,5.6,John Patrick Amedori,Elliott Lester,John Patrick Amedori
39336,tt0270417,How to Go Out on a Date in Queens,How to Go Out on a Date in Queens,2006,2006-07-28,"Comedy, Romance",90,USA,4.3,371,0,4.3,371,5.0,5.0,4.5,Jason Alexander,Michelle Danner,Jason Alexander
39610,tt0275236,The Bros.,The Bros.,2007,2007-02-20,"Comedy, Music",91,USA,3.2,229,0,3.2,229,4.4,3.0,3.9,John Tindall,Jonathan Figg,John Tindall
39846,tt0279688,Beyond the Wall of Sleep,Beyond the Wall of Sleep,2006,2006-06-06,Horror,84,USA,2.8,1047,0,2.8,1047,3.6,2.0,2.8,George Peroulas,Barrett J. Leigh,George Peroulas
40116,tt0283503,Brooklyn Rules,Brooklyn Rules,2007,2009-05-28,"Crime, Drama",99,USA,6.3,5441,8000000,6.3,5441,6.5,7.0,6.1,Paulo Araujo,Michael Corrente,Paulo Araujo
40227,tt0285252,Life's a Beach,Life's a Beach,2012,2012-05-22,Comedy,100,USA,3.7,226,4000000,3.7,226,4.6,4.0,4.2,Darren Geare,Tony Vitale,Darren Geare
40346,tt0287072,Under Surveillance,Under Surveillance,2006,2006,"Horror, Mystery, Thriller",89,USA,4.2,141,31000,4.2,141,5.7,6.0,5.4,Eric Conley,Dave Campfield,Eric Conley
40695,tt0292963,Onora il padre e la madre,Before the Devil Knows You're Dead,2007,2008-03-14,"Crime, Drama, Thriller",117,USA,7.3,94917,18000000,7.3,94917,7.3,7.0,7.0,Philip Seymour Hoffman,Sidney Lumet,Philip Seymour Hoffman
41171,tt0302498,Raising Flagg,Raising Flagg,2006,2008-04-25,Comedy,103,USA,5.4,316,0,5.4,316,5.7,6.0,6.9,Alan Arkin,Neal Miller,Alan Arkin
41371,tt0306947,Along the Way,Along the Way,2007,2007-10-01,Drama,111,USA,5.9,279,1200000,5.9,279,7.9,9.0,4.8,Briel DiCristofaro,Andrew Bowen,Briel DiCristofaro
41421,tt0308055,Bobby,Bobby,2006,2007-01-19,"Biography, Drama, History",117,USA,7.0,40767,14000000,7.0,40767,7.1,7.0,7.1,Harry Belafonte,Emilio Estevez,Harry Belafonte
