,writer_number,lead_writer
0,0,0
1,1,Tyler Perry
2,2,Jake Helgren
3,3,Rolfe Kanefsky
4,4,James Cullen Bressack
5,5,Justin Price
6,6,Charles Band
7,7,BC Fourteen
8,8,Rene Perez
9,9,Ken Del Vecchio
10,10,Chad Law
11,11,Mark Atkins
12,12,Rob Williams
13,13,Matt Riddlehoover
14,14,John Doolan
15,15,Allan Loeb
16,16,Christopher Markus
17,17,Sean Anders
18,18,Robert Conway
19,19,Joe Swanberg
20,20,Adam Rifkin
21,21,Dan Fogelman
22,22,Jason Friedberg
23,23,Brandon Slagle
24,24,Jared Cohn
25,25,Barry Massoni
26,26,Scott Neustadter
27,27,Mark Duplass
28,28,Nicole Holofcener
29,29,Christopher R. Mihm
30,30,Michael Feifer
31,31,Adam Green
32,32,Brittany Wiscombe
33,33,David Lowery
34,34,Len Kabasinski
35,35,Jesse V. Johnson
36,36,Justin Lee
37,37,Mark Polish
38,38,Ted Chalmers
39,39,DJ Perry
40,40,Mike Flanagan
41,41,Jamie Nash
42,42,Scotty Mullen
43,43,Gregory Hatanaka
44,44,Sebastian Gutierrez
45,45,Timothy A. Chey
46,46,Kevin Smith
47,47,Joss Whedon
48,48,Mark Neveldine
49,49,Dave Christiano
50,50,John Lasseter
51,51,Andrew Bujalski
52,52,Noah Buschel
53,53,Israel Luna
54,54,Noah Baumbach
55,55,Rhett Reese
56,56,Gerald Crum
57,57,Ross Patterson
58,58,Christine Conradt
59,59,John Schneider
60,60,Russ Parr
61,61,Jonathan Aibel
62,62,Joseph Mazzaferro
63,63,Chris Sivertson
64,64,Ti West
65,65,Paul Weitz
66,66,Sean Cain
67,67,Dustin Mills
68,68,A.D. Calvo
69,69,Bryan Dick
70,70,Lynn Shelton
71,71,Jean-Claude La Marre
72,72,Brett Haley
73,73,Judd Apatow
74,74,Sally Meyer
75,75,Eric England
76,76,Tom DeNucci
77,77,Geoff Meed
78,78,Christopher Landon
79,79,Daniel Schechter
80,80,Woody Allen
81,81,Mitchell Altieri
82,82,Harley Wallen
83,83,Wes Miller
84,84,Gary Dauberman
85,85,Nicholas Gyeney
86,86,Jacob Cooney
87,87,Jim Strouse
88,88,Paul D. Hannah
89,89,Mark Young
90,90,Miles Doleac
91,91,Jonathan Raymond
92,92,Alex Kendrick
93,93,Jon Lucas
94,94,Anne K. Black
95,95,Jesse Baget
96,96,T.C. Christensen
97,97,Tom McCarthy
98,98,Mickey Keating
99,99,Brian Bird
100,100,Melissa Rosenberg
101,101,Stephen King
102,102,Edward Burns
103,103,Boaz Yakin
104,104,Leigh Scott
105,105,Bob Byington
106,106,Joseph Ciminera
107,107,James Vanderbilt
108,108,Mike White
109,109,Rick Alverson
110,110,Phil Hay
111,111,Anthony Steven Giordano
112,112,Sean Paul Murphy
113,113,Sean Ryan
114,114,Craig McMahon
115,115,James Gunn
116,116,Brian T. Jaynes
117,117,Michael Hurst
118,118,Kenny Yakkel
119,119,Michelle Davidson
120,120,Marques Houston
121,121,Rustam Branaman
122,122,Jake Wade Wall
123,123,Jon Garcia
124,124,Aline Brosh McKenna
125,125,Travis Betz
126,126,Michael Almereyda
127,127,Spencer T. Folmar
128,128,Larry Blamire
129,129,Onur Tukel
130,130,Eddie Lengyel
131,131,Tom Malloy
132,132,Bobcat Goldthwait
133,133,Lou Simon
134,134,Jamie Linden
135,135,Shana Feste
136,136,Jeremy Adams
137,137,Kamal Ahmed
138,138,Emily Hagins
139,139,Michael Baumgarten
140,140,Chuck Konzelman
141,141,Nate Atkins
142,142,Alex Cox
143,143,Dustin Lance Black
144,144,David A. Prior
145,145,Joel Souza
146,146,Adam Sandler
147,147,Terrence Malick
148,148,Richard Griffin
149,149,Joel Potrykus
150,150,Sophie Tilson
151,151,Jace Anderson
152,152,Michael J. Gallagher
153,153,Lorene Scafaria
154,154,Daryn Tufts
155,155,Benjamin Gourley
156,156,Destin Daniel Cretton
157,157,David Zellner
158,158,Kevin Carraway
159,159,Travis Campbell
160,160,Ryan Callaway
161,161,Brooke Purdy
162,162,Shauna Cross
163,163,Quentin Tarantino
164,164,Harold Cronk
165,165,Seth Rogen
166,166,Max Landis
167,167,Allison Burnett
168,168,Robert Ben Garant
169,169,Brian Brightly
170,170,Richard Linklater
171,171,Tommy Blaze
172,172,Christopher Forbes
173,173,Elias
174,174,Joany Kane
175,175,Blayne Weaver
176,176,H.P. Mendoza
177,177,Neil Johnson
178,178,Ian Shorr
179,179,B. Harrison Smith
180,180,Christian Sesma
181,181,Josephine Decker
182,182,Brad Jones
183,183,Glenn Gers
184,184,Dan Garcia
185,185,John Oak Dalton
186,186,Matt Lang
187,187,Marcy Holland
188,188,Will Ferrell
189,189,Ed Dougherty
190,190,Adam Rockoff
191,191,Gary Lundgren
192,192,Jay Lee
193,193,B. Luciano Barsuglia
194,194,Dave Boyle
195,195,Maya Forbes
196,196,Ron Bonk
197,197,Hunter G. Williams
198,198,Eric Roth
199,199,Neil Breen
200,200,J.C. Calciano
201,201,Stephen Biro
202,202,Tom J. Astle
203,203,Marc Lawrence
204,204,Richard LaGravenese
205,205,Mark Polonia
206,206,Brian Jun
207,207,Richard Bates Jr.
208,208,Carl Lindbergh
209,209,William Shockley
210,210,James Felix McKenney
211,211,Pearry Reginald Teo
212,212,Julia Hart
213,213,Jeff Nichols
214,214,Gary Ross
215,215,Keith Merryman
216,216,Jason Faller
217,217,Jeff Ferrell
218,218,David Robert Mitchell
219,219,Alexandra Boylan
220,220,Chris Dowling
221,221,Don Rhymer
222,222,Jay Chandrasekhar
223,223,Bill Guttentag
224,224,Dan Eberle
225,225,Timothy Dolan
226,226,Chris Henchy
